"GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CCDC149",-3.11422196666666,6.20036433333333,-8.88179784302849,3.76161013643988e-06,0.00396026526662179,4.79080802832726
"SLC46A1",-4.1293161,7.56133555,-8.87891750103883,3.772870724463e-06,0.00396026526662179,4.7881314768061
"FZD2",-2.29418283333333,9.55504375,-8.85333411108315,3.874509347318e-06,0.00396026526662179,4.76431702484326
"PLD4",1.92693665,2.52214224166667,8.83408597864337,3.95293786959523e-06,0.00396026526662179,4.7463509249316
"KRT78",2.40696818333333,2.94802194166667,8.77398517910084,4.20912314051387e-06,0.00410060508847305,4.68998185374067
"RHOBTB2",1.32348858333333,11.4206122083333,8.75523843255974,4.29267744678988e-06,0.00410060508847305,4.67231464340022
"EML4",1.61630575,11.9425565416667,8.73020782623543,4.40705728038966e-06,0.00411418829202922,4.64866251501027
"NHS",-3.34965915,5.196547875,-8.65731604633558,4.75940556128654e-06,0.00418684463277417,4.57937300969886
"C11orf21",1.43588935,5.061858325,8.64111992775861,4.84177571591492e-06,0.00418684463277417,4.56389357938115
"CISH",1.799761,11.1906031666667,8.63127450547929,4.89260255071478e-06,0.00418684463277417,4.55446888083836
"TSHZ3",-2.32690991666666,8.441778375,-8.5847335800304,5.1408333554899e-06,0.0043038857830354,4.50976334265928
"CACNA2D4",-1.32392675,9.21551629166667,-8.54876502631677,5.34203375147063e-06,0.0043038857830354,4.47503899513879
"SGPL1",-2.02646566666666,10.4107645,-8.51848697977024,5.51803044574182e-06,0.0043038857830354,4.4456899429262
"STAC",5.02525211666667,5.439958525,8.51255108462971,5.55326581217442e-06,0.0043038857830354,4.43992344692533
"ACOT7",1.89090216666667,12.1437740833333,8.4567459545903,5.89671544854129e-06,0.00434805082193707,4.38550606028013
"GIMAP1",-2.07624683333333,11.8524794166667,-8.41938054686419,6.13952058799177e-06,0.00434805082193707,4.34886196115475
"ZNF187",-1.22427478333333,7.579831025,-8.37176952746488,6.46473473917632e-06,0.0043947550953478,4.30192692373583
"GPR150",1.90524166666667,9.07503525,8.34639778332457,6.64563049468765e-06,0.0043947550953478,4.2768035930614
"STAB1",-5.5953265,11.65470875,-8.33754806639888,6.71001219650749e-06,0.0043947550953478,4.26802216907426
"C3orf18",1.198873,9.93486733333333,8.33637256348834,6.71861473245827e-06,0.0043947550953478,4.26685502214567
"AIF1",-2.80551133333333,14.534851,-8.33251067307141,6.74696099424472e-06,0.0043947550953478,4.26301940213443
"SATB1",-1.81658581666666,8.55264225833333,-8.31346549947405,6.88866179513485e-06,0.0043947550953478,4.24407725665493
"SLC27A3",2.52814016666667,12.3607069166667,8.30384409020489,6.9614713089621e-06,0.0043947550953478,4.23449110180274
"IL16",-1.63948565,7.09259989166667,-8.28149918623222,7.13380408312085e-06,0.0043947550953478,4.2121844822029
"LY86-AS1",1.95899591666667,2.76909330833333,8.27708586139328,7.16838522222958e-06,0.0043947550953478,4.20777150037352
"SECTM1",-4.65176196666666,9.36340751666667,-8.19595128573993,7.83760202844344e-06,0.00466575856406294,4.12621693836971
"GPRIN1",-2.13539738333333,4.030678925,-8.16564146045196,8.10472594395906e-06,0.00471422366161864,4.09554169675165
"FAM129A",1.944308,11.41159025,8.16077226323311,8.14855097806318e-06,0.00471422366161864,4.09060316805407
"TNFRSF1A",-1.23899633333333,9.6629355,-8.05831252376673,9.13290663918687e-06,0.00517865066705421,3.9859980819351
"METTL22",0.702707666666668,9.345207,8.05143331477632,9.20346427828799e-06,0.00517865066705421,3.97892764754132
"TRPS1",-1.27148766666667,9.06714316666667,-8.00204879336771,9.72765554952641e-06,0.00531332482618759,3.92799484453782
"IER3",-2.97095325,13.3837960416667,-7.99266516318457,9.83086685145235e-06,0.00531332482618759,3.91828209036504
"GPR124",2.97224238333333,4.60409760833333,7.97579841727983,1.00193798421882e-05,0.00534488371945094,3.90079561712
"PTPRA",1.02891491666667,12.3572090416667,7.96134606111165,1.01840241668512e-05,0.00536306380355874,3.8857834278169
"LGI2",-5.77354805,5.68941075833333,-7.93995189257755,1.04331537981096e-05,0.00542471171406521,3.86351158964355
"IFI6",1.54943633333334,14.3403433333333,7.90827477537098,1.08142253367779e-05,0.00555256399916859,3.83042737465233
"SLC1A7",2.69840126666667,7.75366308333333,7.88827992777413,1.10625024741097e-05,0.00556522254087987,3.80947803216977
"CLEC4D",2.04683936666667,8.29366223333333,7.88452191784285,1.11098512112219e-05,0.00556522254087987,3.80553488219733
"LDLRAP1",2.213648,9.16055516666667,7.82631917383662,1.18718819114241e-05,0.00578328457416346,3.74423189204606
"C2orf55",-3.08526276666666,5.27810066666667,-7.81924861479623,1.19682425487774e-05,0.00578328457416346,3.73675482206896
"LIPT1",-1.32076486666667,7.09213956666667,-7.81531240956192,1.20222534382887e-05,0.00578328457416346,3.73258949677533
"TLR2",-1.93609883333333,12.5952584166667,-7.78680512274645,1.24213821769481e-05,0.00586460568161286,3.70236267574123
"SEL1L",0.591554000000001,8.55655616666667,7.768233838377,1.26890990273346e-05,0.00591658738167438,3.68261418353503
"LILRB2",-2.74141625,12.3874222916667,-7.75933690553239,1.28195607403111e-05,0.00591658738167438,3.6731373153174
"SEMA4A",-1.94475623333333,8.4434318,-7.73868347511003,1.31280464132775e-05,0.00599164038301984,3.65109765022155
"NFIA",-2.2671681,6.07985758333333,-7.7156930316214,1.34809150332259e-05,0.00606656956370505,3.62649826208009
"LOC344967",1.8673449,8.98051805,7.70803910554867,1.36006577217159e-05,0.00606656956370505,3.61829326333628
"ZNF673",-1.5499946,5.88374435,-7.69951973893342,1.37352948053503e-05,0.00606656956370505,3.609151436356
"MERTK",-2.12824958333333,10.343234375,-7.68590424867201,1.39534726206605e-05,0.00607010985437299,3.59452126291426
"ZNF503",-2.87751141666667,7.09070350833333,-7.68063787497245,1.40388654242242e-05,0.00607010985437299,3.5888558505835
"MAOB",2.89983221666667,3.233185075,7.66975350923846,1.42171497114808e-05,0.00608316293279985,3.57713514235962
"PEAK1",-2.3841211,3.75697698333333,-7.58284484947742,1.57317534608441e-05,0.00642530892475876,3.48298418242847
"PPARD",1.70543823333333,7.15516976666667,7.54836057221715,1.63803397544913e-05,0.00653241588112123,3.44534677252493
"TSPAN4",-2.590404,12.8900795,-7.52736037823116,1.67894419199297e-05,0.00656802967907651,3.42234814241063
"TMEM130",4.84084793333333,6.44914526666667,7.51704871064817,1.69943551657015e-05,0.0065779414787385,3.4110334480414
"FGFR1",1.74618776666667,7.29552646666667,7.51004568154777,1.71350603326765e-05,0.0065779414787385,3.40334104977403
"ECSCR",5.49966021666667,5.61297210833333,7.48984001553587,1.75481413416181e-05,0.00661291241970921,3.38110923264783
"CRTAP",-1.85569243333333,5.3877243,-7.47456317616943,1.78676036382403e-05,0.00667208806403961,3.36426381351179
"RASSF2",-1.71546708333333,12.2908959583333,-7.45563474742223,1.82721753941882e-05,0.00676169258100606,3.3433479707897
