"GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Slc39a11",-0.273247999999999,8.476172,-2.88796134732933,0.0119307648385911,0.0500443075190316,-3.81192832832347
"Atp13a4",0.237634,4.972295,2.88778119643008,0.0119350096791923,0.0500526581560236,-3.8122750548336
"Dcakd",-0.297735999999999,8.99137,-2.8876842632408,0.0119372942998044,0.050052786484414,-3.81246161458598
"Pitpnb",0.289495999999999,10.358472,2.88735300990808,0.0119451048583627,0.0500714342777079,-3.81309914034235
"Rgs19",-0.315103999999999,9.437562,-2.88730440145832,0.0119462514096774,0.0500714342777079,-3.8131926899934
"Spata6",-0.34024,9.038386,-2.88667240333815,0.0119611684966452,0.0501244966288929,-3.8144089698093
"Rhox2g",-0.226281999999999,4.897275,-2.88656168496004,0.0119637836703606,0.0501259962611374,-3.81462204043262
"Wwp2",-0.24256,10.98148,-2.88629507377759,0.0119700833434087,0.0501429297724453,-3.81513510873051
"Mbl1",-0.268471999999999,6.686224,-2.88479201910939,0.0120056595292901,0.0502824736905727,-3.81802737676956
"Dlx1",-0.241576,8.627044,-2.88454298995155,0.012011563878378,0.050297715912363,-3.8185065374739
"Arap1",0.26535,9.951009,2.88416622129826,0.0120205022816906,0.0503256549146346,-3.81923146408159
"Gm3837",0.18434,11.87807,2.88360581239481,0.012033809417721,0.0503665598605068,-3.8203096824971
"Smpd4",0.798014,7.201257,2.88355043670298,0.0120351251206304,0.0503665598605068,-3.82041622167468
"Mmp17",-0.251496,6.844918,-2.8833644525178,0.012039545059369,0.0503665598605068,-3.82077403924686
"Hykk",-0.293182,5.810201,-2.88335743521801,0.0120397118576131,0.0503665598605068,-3.82078753981544
"Eif3k",0.29898,11.24331,2.88327744459117,0.0120416133612281,0.0503665598605068,-3.8209414330387
"Rpl37rt",0.215979999999999,11.69209,2.88277996284674,0.0120534459073513,0.0504065574046409,-3.82189850965938
"Olfr536",-0.233826,7.015729,-2.88249843049512,0.0120601471776427,0.0504250853373627,-3.82244011537748
"Gm6588",-0.28926,6.264552,-2.88227703359023,0.012065419621681,0.0504376333055436,-3.8228660245863
"Galt",-0.209912,9.618854,-2.8821446415952,0.012068573544147,0.0504413220631148,-3.82312070794192
"Swt1",0.312296,6.846856,2.88175358227873,0.0120778943221903,0.0504707793222729,-3.82387297428687
"Nrep",-0.292671999999999,6.800634,-2.88035096961595,0.0121113833102907,0.0506011999601722,-3.82657091868285
"Fbxo33",0.486692,7.12056,2.87940202166173,0.0121340921966997,0.0506865408803448,-3.82839604660623
"Msl2",0.287071999999999,9.274928,2.87904007317622,0.0121427648418057,0.0506964832383018,-3.82909214869
